# t (s)	mx ()	my ()	mz ()	E_total (J)	L ()
0	1.1920929e-07	-2.0925654e-07	-0.41008207	113.992195	8
0	4.4703484e-08	-1.231092e-07	-0.4038222	114.987625	8.05
0	4.4703484e-08	-6.693881e-08	-0.39693248	115.97691	8.1
0		0	-4.4703484e-08	-0.39043608	116.96017	8.15
0	-1.4901161e-08	-2.5320332e-08	-0.3839776	117.937454	8.2
0	-1.4901161e-08	-2.1711458e-08	-0.3776653	118.90893	8.25
0	-2.2351742e-08	-1.693843e-08	-0.37150827	119.87463	8.3
0	-1.4901161e-08	-1.4028046e-08	-0.36549163	120.834724	8.35
0	-2.2351742e-08	-1.8277206e-08	-0.35949075	121.78917	8.4
0	-2.2351742e-08	-1.0535587e-08	-0.35385114	122.73815	8.45
0	-2.9802322e-08	-9.837095e-09	-0.34812027	123.68168	8.5
0	-1.4901161e-08	-8.96398e-09	-0.3427398	124.619835	8.55
0	-9.313226e-09	-8.3236955e-09	-0.33735028	125.55271	8.6
0	-7.450581e-09	-8.6729415e-09	-0.33208543	126.48035	8.65
0	-2.9802322e-08	-7.858034e-09	-0.32694	127.40279	8.7
0	-2.9802322e-08	-5.47152e-09	-0.32189924	128.32007	8.75
0	-4.4703484e-08	-5.529728e-09	-0.31696337	129.23227	8.8
0	-3.7252903e-08	-8.090865e-09	-0.31212944	130.1394	8.85
0	-1.1175871e-08	-5.995389e-09	-0.30729762	131.04153	8.9
0	-2.9802322e-08	-5.7625584e-09	-0.30276185	131.93867	8.95
