# t (s)	mx ()	my ()	mz ()	MaxAngle (rad)
0	0.96696585	0.12528144	0	0.058193635
1.0829350545572832e-11	0.9636954	0.13632444	-0.013507636	0.058902603
2.0166896655573433e-11	0.95526093	0.16233994	-0.024555974	0.060427956
3.0487230391042e-11	0.93843883	0.20681168	-0.035843372	0.06281381
4.05543293530692e-11	0.91267127	0.26315892	-0.045623913	0.064724684
5.047906134937653e-11	0.87677205	0.32769108	-0.05387743	0.06756794
6.04506567531246e-11	0.8293959	0.39778167	-0.060811453	0.0767606
7.041996242555942e-11	0.77039766	0.4696406	-0.06670383	0.08355894
8.022659347363451e-11	0.70083815	0.5391077	-0.072046496	0.08900917
9.062222499677498e-11	0.61407363	0.6084664	-0.07803728	0.096156545
1.0027851358733712e-10	0.52031964	0.66601104	-0.08477849	0.10518838
1.1061097599338602e-10	0.40404665	0.7159223	-0.09421861	0.11867575
1.2028700093453752e-10	0.27861434	0.7458985	-0.105722465	0.134792
1.3005553113744017e-10	0.13608792	0.75231564	-0.11958909	0.15352663
1.4052285688886948e-10	-0.030006137	0.7252213	-0.13519143	0.1743122
1.5022703593233466e-10	-0.18962008	0.66582704	-0.14835018	0.19087607
1.6068162674987785e-10	-0.35950625	0.5659573	-0.15966058	0.20298444
1.7039459698717472e-10	-0.5069351	0.44246614	-0.16666697	0.20528926
1.806630989549361e-10	-0.6417459	0.28496987	-0.16907835	0.20164365
1.9023235249501795e-10	-0.74210083	0.11994257	-0.16519973	0.1948408
2.0051146267764266e-10	-0.81827	-0.069704406	-0.15262021	0.1861638
2.101123115065383e-10	-0.85190713	-0.24613103	-0.13084535	0.1820082
2.2037493252980354e-10	-0.83825326	-0.4052226	-0.0950032	0.17911464
2.3059954110507688e-10	-0.7828326	-0.48961535	-0.05063472	0.17036796
2.401202039270419e-10	-0.72615814	-0.48552415	-0.012113696	0.16161983
2.503147380457815e-10	-0.683038	-0.4135974	0.020301128	0.20177187
2.605146299804986e-10	-0.6611197	-0.30415744	0.043162093	0.23860408
2.7004534766102655e-10	-0.6557819	-0.19804794	0.05594009	0.34034383
2.8028316238233797e-10	-0.6628847	-0.10599956	0.062734865	0.3729415
2.9053406148326426e-10	-0.68786234	-0.044451915	0.066541955	0.39752883
3.0007682867670086e-10	-0.7422631	-0.009270579	0.06962568	0.38042212
3.1032139228261287e-10	-0.8313115	0.025424631	0.07335347	0.25787222
